id,score,stars,label,computed_at,portfolio_id
1,0.5122,4,Good,2026-03-22 18:53:28.136201,1
2,0.5122,4,Good,2026-03-22 18:53:29.088755,1
3,0.5122,4,Good,2026-03-22 18:53:36.825404,1
4,0.5122,4,Good,2026-03-22 18:53:40.369916,1
5,0.5122,4,Good,2026-03-22 18:54:42.406404,1
6,0.5122,4,Good,2026-03-22 18:54:43.755804,1
7,0.5122,4,Good,2026-03-22 19:39:26.975294,1
8,0.5122,4,Good,2026-03-22 19:39:30.376465,1
9,0.5122,4,Good,2026-03-22 19:39:33.307795,1
10,0.5122,4,Good,2026-03-22 19:39:37.097774,1
11,0.5122,4,Good,2026-03-22 19:40:52.728117,1
12,0.5122,4,Good,2026-03-22 19:40:54.827723,1
13,0.5122,4,Good,2026-03-22 19:48:36.568659,1
14,0.5122,4,Good,2026-03-22 19:48:40.222227,1
15,0.5122,4,Good,2026-03-22 19:48:44.473413,1
16,0.5122,4,Good,2026-03-22 19:48:49.266067,1
17,0.5122,4,Good,2026-03-22 19:56:23.837461,1
18,0.5122,4,Good,2026-03-22 19:56:25.298155,1
19,0.5122,4,Good,2026-03-22 19:56:47.651600,1
20,0.5122,4,Good,2026-03-22 19:56:51.968468,1
21,0.5122,4,Good,2026-03-22 20:02:30.460912,1
22,0.5122,4,Good,2026-03-22 20:02:31.626289,1
23,0.5122,4,Good,2026-03-22 20:02:46.090092,1
24,0.5122,4,Good,2026-03-22 20:02:48.182025,1
25,0.5122,4,Good,2026-03-22 20:04:36.436531,1
26,0.5122,4,Good,2026-03-22 20:04:37.158123,1
27,0.5122,4,Good,2026-03-22 20:06:28.050935,1
28,0.5122,4,Good,2026-03-22 20:06:29.803051,1
29,0.5122,4,Good,2026-03-22 20:06:31.780567,1
30,0.5122,4,Good,2026-03-22 20:06:35.450683,1
31,0.5122,4,Good,2026-03-22 20:07:40.096875,1
32,0.5122,4,Good,2026-03-22 20:07:41.010349,1
33,0.5122,4,Good,2026-03-22 20:07:43.543962,1
34,0.5122,4,Good,2026-03-22 20:07:45.531875,1
35,0.5122,4,Good,2026-03-22 20:09:37.312751,1
36,0.5122,4,Good,2026-03-22 20:18:14.564367,1
37,0.5122,4,Good,2026-03-22 20:18:15.854302,1
38,0.5122,4,Good,2026-03-22 20:20:15.800513,1
39,0.5122,4,Good,2026-03-22 20:20:17.347036,1
40,0.5122,4,Good,2026-03-22 20:20:18.728456,1
41,0.5122,4,Good,2026-03-22 20:20:45.015153,1
42,0.5122,4,Good,2026-03-22 20:20:47.782456,1
43,0.5122,4,Good,2026-03-22 20:21:03.697244,1
44,0.5122,4,Good,2026-03-22 20:21:05.069548,1
45,0.5122,4,Good,2026-03-22 20:21:07.462971,1
46,0.5122,4,Good,2026-03-22 20:21:10.129676,1
47,0.5122,4,Good,2026-03-22 20:23:43.937893,1
48,0.5122,4,Good,2026-03-22 20:23:45.882427,1
49,0.5122,4,Good,2026-03-22 20:23:47.794777,1
50,0.5122,4,Good,2026-03-22 20:23:52.076507,1
51,0.5122,4,Good,2026-03-22 20:24:01.337316,1
52,0.5122,4,Good,2026-03-22 20:24:02.558022,1
53,0.484,4,Good,2026-03-22 20:25:05.839759,1
54,0.484,4,Good,2026-03-22 20:25:07.283934,1
55,0.484,4,Good,2026-03-22 20:25:11.119448,1
56,0.484,4,Good,2026-03-22 20:25:13.345264,1
57,0.484,4,Good,2026-03-22 20:26:57.390890,1
58,0.484,4,Good,2026-03-22 20:26:58.868951,1
